cote,num_lot
2 B 485,1
2 B 495,2
2 B 2345,3
2 B 1603,4
2 B 2050,5
2 B 2051,5
2 B 2052,5
2 B 2053,5
2 B 2054,5
2 B 2055,5
2 B 2056,5
2 B 2057,5
2 B 2058,5
2 B 2059,5
2 B 2060,5
2 B 2161,6
2 B 2162,7
2 B 2163,7
2 B 2164,7
2 B 2165,7
2 B 2166,7
2 B 2167,7
2 B 2168,7
2 B 2169,7
2 B 2170,7
2 B 2171,7
2 B 2172,7
2 B 2173,7
2 B 2174,7
2 B 2175,7
2 B 2176,7
2 B 2177,7
2 B 2178,7
2 B 2179,7
2 B 2180,7
2 B 2181,7
2 B 2182,7
2 B 2183,7
2 B 2184,7
2 B 2185,7
2 B 2187,7
2 B 2188,7
2 B 2189,7
2 B 2190,7
2 B 2191,7
2 B 2192,7
2 B 2193,7
2 B 2195,7
2 B 2196,7
2 B 2197,7
2 B 2198,7
2 B 2199,7
2 B 2200,7
2 B 2201,7
2 B 2202,7
2 B 2203,7
2 B 2204,7
2 B 2205,7
2 B 2206,7
2 B 2207,7
2 B 2208,7
2 B 2209,7
2 B 2210,7
2 B 2211,7
2 B 2212,7
2 B 2213,7
2 B 2214,7
2 B 2215,7
2 B 2216,7
2 B 2217,7
2 B 2218,7
2 B 2219,7
2 B 2220,7
2 B 2221,7
2 B 2223,7
2 B 2224,7
2 B 2225,7
2 B 2226,7
2 B 2227,7
2 B 2228,7
2 B 2229,7
2 B 2230,7
2 B 2231,7
2 B 2232,7
2 B 2233,7
2 B 2234,7
2 B 2235,7
2 B 2236,7
2 B 2237,7
2 B 2238,7
2 B 2239,7
2 B 2240,7
2 B 2241,7
2 B 2242,7
2 B 2243,7
2 B 2244,7
2 B 2245,7
2 B 2246,7
2 B 2247,7
2 B 2248,7
2 B 2249,7
2 B 2250,7
2 B 2251,7
2 B 2252,7
2 B 2253,7
2 B 2254,7
2 B 2255,7
2 B 2256,7
2 B 2257,7
2 B 2261,7
2 B 2262,7
2 B 2263,7
2 B 2264,7
2 B 2265,7
2 B 2266,7
2 B 2268,7
2 B 2269,7
2 B 2270,7
2 B 2271,7
2 B 2272,7
2 B 2273,7
2 B 2274,7
2 B 2275,7
2 B 2276,7
2 B 2277,7
2 B 2278,7
2 B 2279,7
2 B 2280,7
2 B 2281,7
2 B 2282,7
2 B 2283,7
2 B 2284,7
2 B 2285,7
2 B 2286,7
2 B 2287,7
2 B 2288,7
2 B 2289,7
2 B 2290,7
2 B 2291,7
2 B 2292,7
2 B 2293,7
2 B 2294,7
2 B 2295,7
2 B 2296,7
2 B 2297,7
2 B 2298,7
2 B 2299,7
2 B 2300,7
2 B 2301,7
2 B 2302,7
2 B 2303,7
2 B 2304,7
2 B 2305,7
2 B 2306,7
2 B 2307,7
2 B 2308,7
2 B 2309,7
2 B 2310,7
2 B 2311,7
2 B 2312,7
2 B 2313,7
2 B 2314,7
2 B 2315,7
2 B 2316,7
2 B 2317,7
2 B 2318,7
2 B 2319,7
2 B 2320,7
2 B 2321,7
2 B 2322,7
2 B 2323,7
2 B 2324,7
2 B 2325,7
2 B 2326,7
2 B 2327,7
2 B 2328,7
2 B 2329,7
2 B 2330,7
2 B 2331,7
2 B 2332,7
2 B 2333,7
2 B 2334,7
2 B 2335,7
2 B 2336,7
2 B 2337,7
2 B 2338,7
2 B 2340,7
2 B 2341,7
2 B 2342,7
2 B 2343,7
2 B 2344,7
2 B 2346,7
2 B 2347,7
2 B 2348,7
2 B 2349,7
2 B 2350,7
2 B 2351,7
2 B 2352,7
2 B 2353,7
2 B 2354,7
2 B 2355,7
2 B 2356,7
2 B 2357,7
2 B 2358,7
2 B 2359,7
2 B 2360,7
2 B 2361,7
2 B 2362,7
2 B 2363,7
2 B 2364,7
2 B 2365,7
2 B 2366,7
2 B 2367,7
2 B 2368,7
2 B 2369,7
2 B 2370,7
2 B 2371,7
2 B 2372,7
2 B 2373,7
2 B 2374,7
2 B 2375,7
2 B 2376,7
2 B 2377,7
2 B 2378,7
2 B 2379,7
2 B 2380,7
2 B 2381,7
2 B 2382,7
2 B 2383,7
2 B 2384,7
2 B 2385,7
2 B 2386,7
2 B 2387,7
2 B 2388,7
2 B 2389,7
2 B 2390,7
2 B 2391,7
2 B 2392,7
2 B 2393,7
2 B 2394,7
2 B 2395,7
2 B 2396,7
2 B 2397,7
2 B 2398,7
2 B 2399,7
2 B 2400,7
2 B 2401,7
2 B 2402,7
2 B 2403,7
2 B 2404,7
2 B 2405,7
2 B 2406,7
2 B 2407,7
2 B 2408,7
2 B 2409,7
2 B 2410,7
2 B 2411,7
2 B 2412,7
2 B 2413,7
2 B 2414,7
2 B 2415,7
2 B 2416,7
2 B 2417,7
2 B 2418,7
2 B 2419,7
2 B 2420,7
2 B 2421,7
2 B 2422,7
2 B 2423,7
2 B 2424,7
2 B 2425,7
2 B 2426,7
2 B 2427,7
2 B 2428,7
2 B 2429,7
2 B 2430,7
2 B 2431,7
2 B 2432,7
2 B 2433,7
2 B 2434,7
2 B 2435,7
2 B 2436,7
2 B 2437,7
2 B 2438,7
2 B 2439,7
2 B 2440,7
2 B 2441,7
2 B 2442,7
2 B 2443,7
2 B 2444,7
2 B 2445,7
2 B 2446,7
2 B 2447,7
2 B 2448,7
2 B 2449,7
2 B 2450,7
2 B 2451,7
2 B 2452,7
2 B 2453,7
2 B 2454,7
2 B 2455,7
2 B 2456,7
2 B 2457,7
2 B 2458,7
2 B 2459,7
2 B 2460,7
2 B 2461,7
2 B 2464,7
2 B 2465,7
2 B 2466,7
2 B 2467,7
2 B 2468,7
2 B 2469,7
2 B 2470,8
2 B 2471,8
2 B 2472,8
2 B 2473,8
2 B 2474,8
2 B 2475,8
2 B 2476,8
2 B 2477,8
2 B 2478,8
2 B 2479,8
2 B 2480,8
2 B 2481,8
2 B 2482,8
2 B 2483,8
2 B 2484,8
2 B 2485,8
2 B 2486,8
2 B 2487,8
2 B 2488,8
2 B 2489,8
2 B 2490,8
2 B 2491,8
2 B 2492,8
2 B 2493,8
2 B 2494,8
2 B 2495,8
2 B 2496,8
2 B 2497,8
2 B 2498,8
2 B 2499,9
2 B 2577,10
2 B 2955,11
2 B 2963,11
2 B 2964,11
2 B 2965,11
2 B 2966,11
2 B 2970,11
2 B 2971,11
2 B 2972,11
2 B 2973,11
2 B 2974,11
2 B 2975,11
2 B 2976,12
2 B 3103,12
2 B 3104,12
2 B 3105,12
2 B 3106,12
2 B 3107,12
2 B 3108,12
2 B 3109,12
2 B 3110,12
2 B 3111,12
2 B 3112,12
2 B 3113,12
2 B 3114,12
2 B 3115,12
2 B 3116,12
2 B 3117,12
2 B 3118,12
2 B 3119,12
2 B 3120,12
2 B 3121,12
2 B 3122,12
2 B 3123,12
2 B 3124,12
2 B 3125,12
2 B 3126,12
2 B 3127,12
2 B 3128,12
2 B 3129,12
2 B 3130,12
2 B 3131,12
2 B 3132,12
2 B 3133,12
2 B 3134,12
2 B 3135,12
2 B 3136,12
2 B 3137,12
2 B 3138,12
2 B 3139,12
2 B 3140,12
2 B 3141,12
2 B 3142,12
2 B 3143,12
2 B 3144,12
2 B 3145,12
2 B 3147,12
2 B 3148,12
2 B 3149,12
2 B 3150,12
2 B 3151,12
2 B 3152,12
2 B 3153,12
2 B 3154,12
2 B 3155,12
2 B 3156,12
2 B 3157,12
2 B 3158,12
2 B 3159,12
2 B 3160,12
2 B 3161,12
2 B 3162,12
2 B 3163,12
2 B 3164,12
2 B 3165,12
2 B 3166,12
2 B 3167,12
2 B 3168,12
2 B 3169,12
2 B 3170,12
2 B 3171,12
2 B 3172,12
2 B 3173,12
2 B 3174,12
2 B 3175,12
2 B 3176,12
2 B 3177,12
2 B 3178,12
2 B 3179,12
2 B 3180,12
2 B 3181,12
2 B 3182,12
2 B 3183,12
2 B 3184,12
2 B 3185,12
2 B 3186,12
2 B 3187,12
2 B 3188,12
2 B 3189,12
2 B 3190,12
2 B 3191,12
2 B 3192,12
2 B 3193,12
2 B 3194,12
2 B 3195,12
2 B 3196,12
2 B 3197,12
2 B 3198,12
2 B 3199,12
2 B 3200,12
2 B 3201,12
2 B 3202,12
2 B 3203,12
2 B 3204,12
2 B 3205,12
2 B 3206,12
2 B 3207,12
2 B 3208,12
2 B 3209,12
2 B 3210,12
2 B 3211,12
2 B 3212,12
2 B 3213,12
2 B 3214,12
2 B 3215,12
2 B 3216,12
2 B 3217,12
2 B 3218,12
2 B 3219,12
2 B 3220,12
2 B 3221,12
2 B 3222,12
2 B 3223,12
2 B 3224,12
2 B 3225,12
2 B 3226,12
2 B 3227,12
2 B 3228,12
2 B 3229,12
2 B 3230,12
2 B 3231,12
2 B 3232,12
2 B 3233,12
2 B 3234,12
2 B 3235,12
2 B 3236,12
2 B 3237,12
2 B 3238,12
2 B 3239,12
2 B 3240,12
2 B 3241,12
2 B 3242,12
2 B 3243,12
2 B 3244,12
2 B 3245,12
2 B 3246,12
